QuadID,AGRcap,ALOgen,AMPflu,ANTodo,CARgau,CARova,ELAacu,ELApus,EPIang,FESnov,GALper,GLOela,JUNart,LAClya,LACstr,LEUfra,LILrut,LOBper,MYRpro,PARcan,PILoff,PILpil,POTche
Q1-3-0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
Q1-3-10,0,0,0.5,0,0,0,1,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0
Q1-3-12,0,0,0.5,0,0,20,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q1-3-14,0,0,0,0,0,0,30,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0
Q1-3-16,0,0,0,0,10,0,5,0,0,0,2,0,0,15,5,0,0,0,0,0,0,0,0
Q1-3-18,0,0,0,0,10,0,1,0,0,0,15,0,10,0,0,0,0,0,0,0,0,0,0
Q1-3-2,0,0,0.5,0,0,0,0.5,0.5,0,0,0,0,0,0,3,0,5,1,0,0,0,0,0
Q1-3-20,0,0,0,0,20,0,0.5,0,20,0,70,0,10,0,0,0,0,1,0,0,0,0,0
Q1-3-22,0,0,0,0,20,0,0,0,3,0,60,0,1,2,1,0,0,15,0,0,0,0,0
Q1-3-24,80,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q1-3-26,20,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0
Q1-3-28,20,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,30,0
Q1-3-30,5,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,40,0,0
Q1-3-32,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,20,5,0
Q1-3-4,0,0,0.5,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q1-3-6,0,0,0,0,0,0,20,0.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Q1-3-8,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q1-5-0,0,40,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q1-5-10,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q1-5-12,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q1-5-14,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q1-5-16,0,0,3,0,10,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q1-5-18,0,0,0,0,80,0,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q1-5-2,0,1,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q1-5-20,80,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q1-5-22,30,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q1-5-24,3,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,1,0
Q1-5-26,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,5,0
Q1-5-28,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,30,0,0
Q1-5-30,5,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,40,0,0
Q1-5-32,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,5,0,0
Q1-5-4,0,1,1,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q1-5-6,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q1-5-8,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q2-3-0,0,0,0,0,0,0,10,1,0,0,0.5,0.5,0,10,0,0,0,0.5,0.5,0.5,0,0,2
Q2-3-10,0,0,0,0,0,0,0,5,0,0,0,0,0,0,2,0,20,0,0,0,0,0,0
Q2-3-12,0,0,0.5,0,0,0,40,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
Q2-3-14,0,10,0,0,0,0,5,2,0,0,0,0,0,0,30,0,0,5,0,0,0,0,0
Q2-3-16,0,0,40,0,0,0,5,1,0,0,0,0,3,0,0,0,0,0.5,0,0,0,0,0
Q2-3-18,0,5,0,0,0,0,5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q2-3-2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,2,0,0,0.5,0,0,0
Q2-3-20,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0
Q2-3-22,0,0,10,0,0,0,10,0,0,0,1,0,0,0,0,0,0,0.5,0,0.5,0,0,0
Q2-3-24,0,0,0.5,0,0,0,5,0,0,0,60,0,0,0,0,0,0.5,10,0,20,0,0,0
Q2-3-26,0,0,0,0,30,0,10,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0
Q2-3-28,0,0,0,0,40,0,0,0.5,5,0,60,0,10,0,0,0,0,1,0,0,0,0,0
Q2-3-30,0,0,0,0,60,0,0,0,3,0,60,0,5,0,0,0,0,0.5,0,0,0,0,0
Q2-3-32,0,0,0,0,40,0,0,0,10,0,50,0,2,0,0,0,0,0.5,0,0,0,0,0
Q2-3-34,3,0,0,0,40,0,3,0,5,0,60,0,0,0,0,0,0,0.5,0,0,0,0,0
Q2-3-36,30,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q2-3-38,30,0,0,0,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q2-3-4,0,0,0,0,0,0,0,20,0,0,2,0,0,2,10,0,5,0,0,1,0,0,0.5
Q2-3-40,30,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q2-3-42,60,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q2-3-44,20,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q2-3-46,15,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0
Q2-3-48,30,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0
Q2-3-50,15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0
Q2-3-52,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,90,0,0
Q2-3-54,0.5,0,0,0.5,0,0,0,0,0,20,0,0,0,0,0,0.5,0,0,0,0,10,0,0
Q2-3-6,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,1,0,0,0.5,0,0,0
Q2-3-8,0,0,0,0,0,0,40,10,0,0,0,0,0,0,20,0,0,0,0,0.5,0,0,0
Q2-5-0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q2-5-10,0,0,20,0,0,0,0.5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q2-5-12,0,0,15,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q2-5-14,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q2-5-16,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q2-5-18,0,0,1,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q2-5-2,0,0,30,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q2-5-20,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q2-5-22,0,0,3,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q2-5-24,0,0,0.5,0,40,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q2-5-26,0,0,0,0,30,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q2-5-28,0,0,0,0,60,10,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q2-5-30,2,0,0,0,90,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q2-5-32,3,0,0,0,70,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q2-5-34,20,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q2-5-36,20,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q2-5-38,50,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q2-5-4,0,0,20,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q2-5-40,70,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q2-5-42,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q2-5-44,20,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q2-5-46,40,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
Q2-5-48,30,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,20,0
Q2-5-50,15,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0
Q2-5-52,15,0,0,1,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,40,0,0
Q2-5-54,3,0,0,5,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,60,0,0
Q2-5-56,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,20,0,0
Q2-5-6,0,5,1,0,0,0,2,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0
Q2-5-8,0,0,10,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q3-3-0,0,0,10,0,0,0,10,15,0,0,0,0.5,0,0,0,0,3,0,2,0.5,0,0,0
Q3-3-10,0,0,1,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0.05,0,0.5,0,0,0
Q3-3-12,0,0,0,0,0,0,10,1,0,0,0.5,0,0,0,0,0,0.5,3,0.5,0,0,0,0
Q3-3-14,0,0,0,0,0,0,0,10,0,0,20,0,0,0,5,0,1,30,0.5,0.5,0.5,0,0
Q3-3-16,0,0,0,0,20,0,2,3,0,0,1,1,1,0,0,0,0.5,5,3,2,0,0,0
Q3-3-18,0,0,0,0,40,3,1,0,20,0,15,0,0,0,0,0,0,0,0,0.5,0,0,0
Q3-3-2,0,0,5,0,0,0,5,2,0,0,0.5,0,0,0,0,0,15,40,0,5,0,0,0
Q3-3-20,0,0,0,0,20,0,0,0,1,0,30,0,3,0,0,0,0,0,0,0,0,0,0
Q3-3-22,1,0,0,0,20,0,0,0,15,0,50,0,0,0,0,0,0,0,0,0,0,0,0
Q3-3-24,0,0,0,0,30,0,0,0,2,0,40,0,1,0,0,0,0,0,0,0,0,0,0
Q3-3-26,20,0,0,0,50,0,0,0,10,0,1,0,2,0,0,0,0,0,0,0,0,0,0
Q3-3-28,30,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q3-3-30,0,0,0,30,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q3-3-32,20,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q3-3-34,20,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0
Q3-3-36,20,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q3-3-38,30,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,10,0,0
Q3-3-4,0,0,5,0,0,0,5,1,0,0,0,0,0,0,0,0,30,1,0.5,0.5,0,0,0
Q3-3-40,10,0,0,10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,40,0,0
Q3-3-42,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,60,0,0
Q3-3-44,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0.5,0,0,0,0,20,0,0
Q3-3-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0
Q3-3-48,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,30,0,0
Q3-3-50,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0
Q3-3-6,0,0,10,0,0,0,0,1,0,0,0,0,0,0,0,0,10,40,5,1,0,0,0
Q3-3-8,0,0,15,0,0,0,3,0,0,0,0,0,10,0,0,0,1,20,0,0,0,0,0
Q3-5-0,0,0,30,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q3-5-10,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q3-5-12,0,0,0,0,0,0.5,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q3-5-14,0,0,5,0,0,0,10,0,0,0,0.5,0,2,0.5,0,0,0,0,0,0,0,0,0
Q3-5-16,0,0,0,0,5,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q3-5-18,0,0,2,0,30,1,2,0,0,0,0.5,0,0,5,0,0,0,0,0,0,0,0,0
Q3-5-2,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q3-5-20,0,0,0,0,70,0,3,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Q3-5-22,10,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q3-5-24,30,0,0,0,20,0,0,0,10,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0
Q3-5-26,30,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q3-5-28,30,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q3-5-30,30,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q3-5-32,30,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q3-5-34,30,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q3-5-36,30,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q3-5-38,30,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q3-5-4,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q3-5-40,30,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q3-5-42,20,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q3-5-44,10,0,0,0,0,0,0,0,0,10,0,0,0,0,0,2,0,0,0,0,60,0,0
Q3-5-46,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,80,0,0
Q3-5-48,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0.5,0,0,0,0,60,0,0
Q3-5-50,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,40,0,0
Q3-5-6,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q3-5-8,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q4-3-0,0,0,0.5,0,0,0,2,5,0,0,0,0,0,0,10,0,0.5,1,1,0.5,0,0,2
Q4-3-10,0,0,0,0,0,0,0,1,0,0,0,0.5,0,0,10,0,10,5,0,0.5,0,0,1
Q4-3-12,0,0,0,0,0,0,0,2,0,0,0,5,0,0,1,0,20,5,0.5,0.5,0.5,0,0.5
Q4-3-14,0,0,0,0,0,0,15,10,0,0,0,20,0,0,5,0,0.5,10,0.5,0.5,0,0,0.5
Q4-3-16,0,0,0,0,0,0,15,2,0,0,0.5,0.5,0,0,2,0,2,10,3,0,0,0,1
Q4-3-18,0,0,1,0,0,0,0,2,0,0,0,5,0,0,5,0,5,30,5,0,0,0,0
Q4-3-2,0,1,0,0,0,0,1,10,0,0,0.5,0.5,0,0,1,0,5,10,0.5,0.5,0,0,1
Q4-3-20,0,0,10,0,0,0,40,1,0,0,0,1,0,0,0,0,0.5,5,2,0.5,0,0,0
Q4-3-22,0,0,0,0,0,0,5,0.5,0,0,0,0,40,1,0,0,0,0,0,0,0,0,0
Q4-3-24,0,0,0,0,5,0,10,3,0,0,0,0,30,0.5,0,0,0,2,0,10,0,0,0
Q4-3-26,0,0,0,0,40,0,0,0,20,0,10,0,5,0,0,0,0,2,0,0.5,0,0,0
Q4-3-28,1,0,0,0,20,0,0,0,20,0,40,0,10,0,0,0,0,0,0,0.5,0,0,0
Q4-3-30,60,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q4-3-32,40,0,0,20,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
